Path,Label,SampleID,Location,DateCollected,DateReceived,Latitude,Longitude,TissueType,Comments,SpeciesID,CommonName,Lyoph?,Original DNA Plate,Original Plate Well,[Mini] ng/ul,DNA PLATE,DNA PLATE POSITION,[DNA] ng/ul,DNA Yield (ug) (100ul vol),Counts,SubCounts,Stat1,Stat2,Mapped,Index
/home/djprince/active_projects/spineflower/1004_alignments/LF30_sorted_proper_rmdup.bam,LF30,1-1,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,C06,NA,Spineflower 1,A01,49.2,4.9,677670,59965,2769584,2682839,677670,1
/home/djprince/active_projects/spineflower/1004_alignments/LF32_sorted_proper_rmdup.bam,LF32,1-3,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,E06,NA,Spineflower 1,C01,31.5,3.2,721654,60242,2567605,2452781,721654,2
/home/djprince/active_projects/spineflower/1004_alignments/LF33_sorted_proper_rmdup.bam,LF33,1-4,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,F06,NA,Spineflower 1,D01,27.2,2.7,721559,59763,2521608,2412948,721559,3
/home/djprince/active_projects/spineflower/1004_alignments/LF34_sorted_proper_rmdup.bam,LF34,1-5,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,G06,NA,Spineflower 1,E01,43.1,4.3,746151,60306,3385831,3286486,746151,4
/home/djprince/active_projects/spineflower/1004_alignments/LF35_sorted_proper_rmdup.bam,LF35,1-6,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,H06,NA,Spineflower 1,F01,46.7,4.7,677392,60194,3049210,2957934,677392,5
/home/djprince/active_projects/spineflower/1004_alignments/LF36_sorted_proper_rmdup.bam,LF36,1-7,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A07,NA,Spineflower 1,G01,23.7,2.4,574459,60590,2914622,2845986,574459,6
/home/djprince/active_projects/spineflower/1004_alignments/LF37_sorted_proper_rmdup.bam,LF37,1-8,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,B07,NA,Spineflower 1,H01,28.5,2.8,333522,60274,1249252,1190647,333522,7
/home/djprince/active_projects/spineflower/1004_alignments/LF39_sorted_proper_rmdup.bam,LF39,1-10,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,D07,NA,Spineflower 1,B02,29,2.9,371438,60502,1160835,1118423,371438,8
/home/djprince/active_projects/spineflower/1004_alignments/LF41_sorted_proper_rmdup.bam,LF41,1-12,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,F07,NA,Spineflower 1,D02,45,4.5,754955,60297,3130869,3029934,754955,9
/home/djprince/active_projects/spineflower/1004_alignments/LF43_sorted_proper_rmdup.bam,LF43,1-14,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,H07,NA,Spineflower 1,F02,45.6,4.6,615159,59971,2891447,2812604,615159,10
/home/djprince/active_projects/spineflower/1004_alignments/LF44_sorted_proper_rmdup.bam,LF44,1-15,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A08,NA,Spineflower 1,G02,46.3,4.6,620196,59968,2319293,2250483,620196,11
/home/djprince/active_projects/spineflower/1004_alignments/LF45_sorted_proper_rmdup.bam,LF45,1-16,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,B08,NA,Spineflower 1,H02,51.8,5.2,661266,60750,3044232,2944441,661266,12
/home/djprince/active_projects/spineflower/1004_alignments/LF48_sorted_proper_rmdup.bam,LF48,1-19,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,E08,NA,Spineflower 1,C03,31.9,3.2,625248,59603,3086848,3003057,625248,13
/home/djprince/active_projects/spineflower/1004_alignments/LF50_sorted_proper_rmdup.bam,LF50,1-21,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,G08,NA,Spineflower 1,E03,53.4,5.3,676263,59905,2705974,2617485,676263,14
/home/djprince/active_projects/spineflower/1004_alignments/LF52_sorted_proper_rmdup.bam,LF52,2-2,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A09,NA,Spineflower 1,G03,23.6,2.4,222587,59752,815265,791768,222587,15
/home/djprince/active_projects/spineflower/1004_alignments/LF53_sorted_proper_rmdup.bam,LF53,2-3,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,B09,NA,Spineflower 1,H03,34.7,3.5,380126,60323,1310030,1267967,380126,16
/home/djprince/active_projects/spineflower/1004_alignments/LF54_sorted_proper_rmdup.bam,LF54,2-4,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,C09,NA,Spineflower 1,A04,40.8,4.1,456768,59760,2286201,2225384,456768,17
/home/djprince/active_projects/spineflower/1004_alignments/LF56_sorted_proper_rmdup.bam,LF56,2-6,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,E09,NA,Spineflower 1,C04,45.9,4.6,657247,59522,3229278,3146008,657247,18
/home/djprince/active_projects/spineflower/1004_alignments/LF57_sorted_proper_rmdup.bam,LF57,2-7,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,F09,NA,Spineflower 1,D04,42.8,4.3,645869,59782,3091545,3003141,645869,19
/home/djprince/active_projects/spineflower/1004_alignments/LF58_sorted_proper_rmdup.bam,LF58,2-8,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,G09,NA,Spineflower 1,E04,44.4,4.4,735117,59222,3084492,2939661,735117,20
/home/djprince/active_projects/spineflower/1004_alignments/LF59_sorted_proper_rmdup.bam,LF59,2-9,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,H09,NA,Spineflower 1,F04,51.1,5.1,681537,60458,2782993,2703348,681537,21
/home/djprince/active_projects/spineflower/1004_alignments/LF60_sorted_proper_rmdup.bam,LF60,2-10,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A10,NA,Spineflower 1,G04,31.7,3.2,602567,60187,2741533,2668682,602567,22
/home/djprince/active_projects/spineflower/1004_alignments/LF62_sorted_proper_rmdup.bam,LF62,2-12,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,C10,NA,Spineflower 1,A05,29.6,3,605553,59541,2977395,2883991,605553,23
/home/djprince/active_projects/spineflower/1004_alignments/LF64_sorted_proper_rmdup.bam,LF64,2-14,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,E10,NA,Spineflower 1,C05,46.4,4.6,292982,59923,1225937,1195323,292982,24
/home/djprince/active_projects/spineflower/1004_alignments/LF68_sorted_proper_rmdup.bam,LF68,2-18,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A11,NA,Spineflower 1,G05,37.2,3.7,711626,59844,2996294,2909647,711626,25
/home/djprince/active_projects/spineflower/1004_alignments/LF69_sorted_proper_rmdup.bam,LF69,2-19,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,B11,NA,Spineflower 1,H05,45.2,4.5,632804,60438,2842826,2770439,632804,26
/home/djprince/active_projects/spineflower/1004_alignments/LF70_sorted_proper_rmdup.bam,LF70,2-20,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,C11,NA,Spineflower 1,A06,35.2,3.5,634782,59998,2442326,2373033,634782,27
/home/djprince/active_projects/spineflower/1004_alignments/LF71_sorted_proper_rmdup.bam,LF71,2-21,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,D11,NA,Spineflower 1,B06,35.8,3.6,720973,59747,3267920,3172249,720973,28
/home/djprince/active_projects/spineflower/1004_alignments/LF72_sorted_proper_rmdup.bam,LF72,3-1,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,E11,NA,Spineflower 1,C06,42.7,4.3,520294,60153,2018490,1947463,520294,29
/home/djprince/active_projects/spineflower/1004_alignments/LF75_sorted_proper_rmdup.bam,LF75,3-4,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,H11,NA,Spineflower 1,F06,47.3,4.7,605869,60212,2283647,2200529,605869,30
/home/djprince/active_projects/spineflower/1004_alignments/LF76_sorted_proper_rmdup.bam,LF76,3-5,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,A12,NA,Spineflower 1,G06,24.3,2.4,84711,60115,195161,187422,84711,31
/home/djprince/active_projects/spineflower/1004_alignments/LF77_sorted_proper_rmdup.bam,LF77,3-6,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,none avail.,578,B12,NA,Spineflower 1,H06,42.5,4.3,211739,60072,763419,735953,211739,32
/home/djprince/active_projects/spineflower/1004_alignments/LF78_sorted_proper_rmdup.bam,LF78,3-7,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,C12,NA,Spineflower 1,A07,24,2.4,558399,60113,1846962,1788033,558399,33
/home/djprince/active_projects/spineflower/1004_alignments/LF80_sorted_proper_rmdup.bam,LF80,3-9,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,E12,NA,Spineflower 1,C07,28.6,2.9,646255,59965,2929920,2841679,646255,34
/home/djprince/active_projects/spineflower/1004_alignments/LF81_sorted_proper_rmdup.bam,LF81,3-10,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,F12,NA,Spineflower 1,D07,35.6,3.6,586328,59672,2593929,2525623,586328,35
/home/djprince/active_projects/spineflower/1004_alignments/LF82_sorted_proper_rmdup.bam,LF82,3-11,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,578,G12,NA,Spineflower 1,E07,27.2,2.7,679416,59378,3112797,3023118,679416,36
/home/djprince/active_projects/spineflower/1004_alignments/LF84_sorted_proper_rmdup.bam,LF84,3-13,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,B01,NA,Spineflower 2,G01,42.3,4.2,287845,60314,1054366,1009656,287845,37
/home/djprince/active_projects/spineflower/1004_alignments/LF86_sorted_proper_rmdup.bam,LF86,3-15,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,D01,NA,Spineflower 1,A08,28.8,2.9,373012,59281,1314373,1270469,373012,38
/home/djprince/active_projects/spineflower/1004_alignments/LF87_sorted_proper_rmdup.bam,LF87,3-16,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,E01,NA,Spineflower 1,B08,22.6,2.3,298804,60033,1023452,995079,298804,39
/home/djprince/active_projects/spineflower/1004_alignments/LF88_sorted_proper_rmdup.bam,LF88,3-17,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,F01,NA,Spineflower 1,C08,32.3,3.2,435015,60119,2109458,1979792,435015,40
/home/djprince/active_projects/spineflower/1004_alignments/LF89_sorted_proper_rmdup.bam,LF89,3-18,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,G01,NA,Spineflower 1,D08,43.6,4.4,624759,59961,2518552,2443239,624759,41
/home/djprince/active_projects/spineflower/1004_alignments/LF91_sorted_proper_rmdup.bam,LF91,3-20,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,A02,NA,Spineflower 1,F08,27.5,2.8,724836,60082,2583069,2468542,724836,42
/home/djprince/active_projects/spineflower/1004_alignments/LF92_sorted_proper_rmdup.bam,LF92,3-21,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,B02,NA,Spineflower 1,G08,34.8,3.5,630445,59723,2819648,2741841,630445,43
/home/djprince/active_projects/spineflower/1004_alignments/LF93_sorted_proper_rmdup.bam,LF93,3-22,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,C02,NA,Spineflower 1,H08,27.2,2.7,568710,60279,2071548,1903196,568710,44
/home/djprince/active_projects/spineflower/1004_alignments/LF94_sorted_proper_rmdup.bam,LF94,4-1,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,D02,NA,Spineflower 1,A09,26.2,2.6,519700,59907,2134736,2076358,519700,45
/home/djprince/active_projects/spineflower/1004_alignments/LF95_sorted_proper_rmdup.bam,LF95,4-2,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,E02,NA,Spineflower 1,B09,27.2,2.7,343311,59660,1295862,1260067,343311,46
/home/djprince/active_projects/spineflower/1004_alignments/LF96_sorted_proper_rmdup.bam,LF96,4-3,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,F02,NA,Spineflower 1,C09,21.4,2.1,497259,59403,1671215,1624987,497259,47
/home/djprince/active_projects/spineflower/1004_alignments/LF97_sorted_proper_rmdup.bam,LF97,4-4,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,G02,NA,Spineflower 1,D09,29.6,3,631596,59910,2282135,2209364,631596,48
/home/djprince/active_projects/spineflower/1004_alignments/LG01_sorted_proper_rmdup.bam,LG01,4-7,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,B03,NA,Spineflower 1,G09,35.5,3.5,631308,59624,2267075,2193001,631308,49
/home/djprince/active_projects/spineflower/1004_alignments/LG02_sorted_proper_rmdup.bam,LG02,4-8,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,C03,NA,Spineflower 1,H09,27.5,2.7,673488,59517,3044664,2923611,673488,50
/home/djprince/active_projects/spineflower/1004_alignments/LG03_sorted_proper_rmdup.bam,LG03,4-9,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,D03,NA,Spineflower 1,A10,26.6,2.7,678218,59907,2205068,2116618,678218,51
/home/djprince/active_projects/spineflower/1004_alignments/LG04_sorted_proper_rmdup.bam,LG04,4-10,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,E03,NA,Spineflower 1,B10,16.3,1.6,568679,59332,2483673,2399615,568679,52
/home/djprince/active_projects/spineflower/1004_alignments/LG05_sorted_proper_rmdup.bam,LG05,4-11,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,F03,NA,Spineflower 1,C10,31.7,3.2,331877,60111,875492,843139,331877,53
/home/djprince/active_projects/spineflower/1004_alignments/LG06_sorted_proper_rmdup.bam,LG06,4-12,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,G03,NA,Spineflower 1,D10,36.3,3.6,247252,60103,830412,806218,247252,54
/home/djprince/active_projects/spineflower/1004_alignments/LG10_sorted_proper_rmdup.bam,LG10,4-16,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,C04,NA,Spineflower 1,H10,24.9,2.5,464956,60323,2608386,2541788,464956,55
/home/djprince/active_projects/spineflower/1004_alignments/LG11_sorted_proper_rmdup.bam,LG11,4-17,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,NA,NA,Leaves,NA,NA,San Fernando Valley Spineflower,NA,579,D04,NA,Spineflower 1,A11,22.9,2.3,580868,59783,2173059,2106523,580868,56
