NFGEL#,SampleID,Location,DateCollected,DateReceived,Latitude,Longitude,TissueType,Comments,SpeciesID,CommonName,Lyoph?,Original DNA Plate,Original Plate Well,[Mini] ng/ul,DNA PLATE,DNA PLATE POSITION,[DNA] ng/ul,DNA Yield (ug) (100ul vol)
LF08,Pilot4-1,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF09,Pilot4-2,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,11.3,,,,
LF10,Pilot4-3,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,13.7,,,,
LF11,Pilot4-4,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF12,Pilot4-5,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,12.0,,,,
LF13,Pilot4-6,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF14,Pilot4-7,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF15,Pilot4-8,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF16,Pilot4-9,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,11.2,,,,
LF17,Pilot5-1,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF18,Pilot5-2,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF19,Pilot5-3,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF20,Pilot5-4,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,19.2,,,,
LF21,Pilot5-5,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF22,Pilot5-6,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF23,Pilot5-7,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF24,Pilot6-1,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,30.5,,,,
LF25,Pilot6-2,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF26,Pilot6-3,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF27,Pilot6-4,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,4.0,,,,
LF28,Pilot6-5,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,No DNA Extracted, , ,,,,
LF29,Pilot6-6,"Upper Las Virgenes Canyon OSP, Pop 6",5/21/14,5/23/14,,,Leaves,Pilot material for testing,,San Fernando Valley Spineflower,,Mini: not transferred, ,5.0,,,,
LF30,1-1,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C06,,Spineflower 1,A01,49.2,4.9
LF31,1-2,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D06,,Spineflower 1,B01,59.5,5.9
LF32,1-3,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,E06,,Spineflower 1,C01,31.5,3.2
LF33,1-4,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,F06,,Spineflower 1,D01,27.2,2.7
LF34,1-5,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G06,,Spineflower 1,E01,43.1,4.3
LF35,1-6,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,H06,,Spineflower 1,F01,46.7,4.7
LF36,1-7,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A07,,Spineflower 1,G01,23.7,2.4
LF37,1-8,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,B07,,Spineflower 1,H01,28.5,2.8
LF38,1-9,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C07,,Spineflower 1,A02,19.0,1.9
LF39,1-10,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D07,,Spineflower 1,B02,29.0,2.9
LF40,1-11,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,E07,,Spineflower 1,C02,55.7,5.6
LF41,1-12,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,F07,,Spineflower 1,D02,45.0,4.5
LF42,1-13,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G07,,Spineflower 1,E02,54.9,5.5
LF43,1-14,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,H07,,Spineflower 1,F02,45.6,4.6
LF44,1-15,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A08,,Spineflower 1,G02,46.3,4.6
LF45,1-16,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,B08,,Spineflower 1,H02,51.8,5.2
LF46,1-17,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C08,,Spineflower 1,A03,64.3,6.4
LF47,1-18,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D08,,Spineflower 1,B03,54.5,5.5
LF48,1-19,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,E08,,Spineflower 1,C03,31.9,3.2
LF49,1-20,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,F08,,Spineflower 1,D03,66.0,6.6
LF50,1-21,"Upper Las Virgenes Canyon OSP, Pop 1",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G08,,Spineflower 1,E03,53.4,5.3
LF51,2-1,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,H08,,Spineflower 1,F03,60.1,6.0
LF52,2-2,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A09,,Spineflower 1,G03,23.6,2.4
LF53,2-3,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,B09,,Spineflower 1,H03,34.7,3.5
LF54,2-4,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C09,,Spineflower 1,A04,40.8,4.1
LF55,2-5,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D09,,Spineflower 1,B04,4.8,0.5
LF56,2-6,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,E09,,Spineflower 1,C04,45.9,4.6
LF57,2-7,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,F09,,Spineflower 1,D04,42.8,4.3
LF58,2-8,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G09,,Spineflower 1,E04,44.4,4.4
LF59,2-9,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,H09,,Spineflower 1,F04,51.1,5.1
LF60,2-10,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A10,,Spineflower 1,G04,31.7,3.2
LF61,2-11,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,B10,,Spineflower 1,H04,80.7,8.1
LF62,2-12,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C10,,Spineflower 1,A05,29.6,3.0
LF63,2-13,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D10,,Spineflower 1,B05,54.2,5.4
LF64,2-14,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,E10,,Spineflower 1,C05,46.4,4.6
LF65,2-15,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,F10,,Spineflower 1,D05,58.4,5.8
LF66,2-16,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G10,,Spineflower 1,E05,64.0,6.4
LF67,2-17,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,H10,,Spineflower 1,F05,95.6,9.6
LF68,2-18,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A11,,Spineflower 1,G05,37.2,3.7
LF69,2-19,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,B11,,Spineflower 1,H05,45.2,4.5
LF70,2-20,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C11,,Spineflower 1,A06,35.2,3.5
LF71,2-21,"Upper Las Virgenes Canyon OSP, Pop 2",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D11,,Spineflower 1,B06,35.8,3.6
LF72,3-1,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,E11,,Spineflower 1,C06,42.7,4.3
LF73,3-2,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,F11,,Spineflower 1,D06,87.9,8.8
LF74,3-3,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G11,,Spineflower 1,E06,53.1,5.3
LF75,3-4,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,H11,,Spineflower 1,F06,47.3,4.7
LF76,3-5,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,A12,,Spineflower 1,G06,24.3,2.4
LF77,3-6,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,578,B12,,Spineflower 1,H06,42.5,4.3
LF78,3-7,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,C12,,Spineflower 1,A07,24.0,2.4
LF79,3-8,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,D12,,Spineflower 1,B07,53.3,5.3
LF80,3-9,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,E12,,Spineflower 1,C07,28.6,2.9
LF81,3-10,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,F12,,Spineflower 1,D07,35.6,3.6
LF82,3-11,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,578,G12,,Spineflower 1,E07,27.2,2.7
LG32,5-17,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A07,,Spineflower 1,F07,14.2,1.4
LG33,5-18,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B07,,Spineflower 1,G07,7.6,0.8
LG34,5-19,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,C07,,Spineflower 1,H07,22.4,2.2
LF86,3-15,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,D01,,Spineflower 1,A08,28.8,2.9
LF87,3-16,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,E01,,Spineflower 1,B08,22.6,2.3
LF88,3-17,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F01,,Spineflower 1,C08,32.3,3.2
LF89,3-18,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G01,,Spineflower 1,D08,43.6,4.4
LF90,3-19,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,none avail.,579,H01,,Spineflower 1,E08,54.2,5.4
LF91,3-20,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A02,,Spineflower 1,F08,27.5,2.8
LF92,3-21,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B02,,Spineflower 1,G08,34.8,3.5
LF93,3-22,"Upper Las Virgenes Canyon OSP, Pop 3",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,C02,,Spineflower 1,H08,27.2,2.7
LF94,4-1,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,D02,,Spineflower 1,A09,26.2,2.6
LF95,4-2,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,E02,,Spineflower 1,B09,27.2,2.7
LF96,4-3,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F02,,Spineflower 1,C09,21.4,2.1
LF97,4-4,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G02,,Spineflower 1,D09,29.6,3.0
LF98,4-5,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,H02,,Spineflower 1,E09,41.9,4.2
LF99,4-6,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A03,,Spineflower 1,F09,34.9,3.5
LG01,4-7,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B03,,Spineflower 1,G09,35.5,3.5
LG02,4-8,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,C03,,Spineflower 1,H09,27.5,2.7
LG03,4-9,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,D03,,Spineflower 1,A10,26.6,2.7
LG04,4-10,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,E03,,Spineflower 1,B10,16.3,1.6
LG05,4-11,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F03,,Spineflower 1,C10,31.7,3.2
LG06,4-12,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G03,,Spineflower 1,D10,36.3,3.6
LG07,4-13,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,H03,,Spineflower 1,E10,11.7,1.2
LG08,4-14,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A04,,Spineflower 1,F10,38.6,3.9
LG09,4-15,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B04,,Spineflower 1,G10,40.7,4.1
LG10,4-16,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,C04,,Spineflower 1,H10,24.9,2.5
LG11,4-17,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,D04,,Spineflower 1,A11,22.9,2.3
LG12,4-18,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,E04,,Spineflower 1,B11,20.8,2.1
LG13,4-19,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F04,,Spineflower 1,C11,32.3,3.2
LG14,4-20,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G04,,Spineflower 1,D11,20.8,2.1
LG15,4-21,"Upper Las Virgenes Canyon OSP, Pop 4",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,H04,,Spineflower 1,E11,16.0,1.6
LG24,5-9,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A06,,Spineflower 1,F11,13.4,1.3
LG25,5-10,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B06,,Spineflower 1,G11,30.6,3.1
LG26,5-11,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,C06,,Spineflower 1,H11,19.8,2.0
LG27,5-12,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,D06,,Spineflower 1,A12,13.1,1.3
LG28,5-13,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,E06,,Spineflower 1,B12,38.3,3.8
LG29,5-14,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,F06,,Spineflower 1,C12,26.3,2.6
LG30,5-15,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,G06,,Spineflower 1,D12,40.2,4.0
LG31,5-16,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,H06,,Spineflower 1,E12,30.3,3.0
LG16,5-1,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,A05,,Spineflower 1,F12,37.0,3.7
LG17,5-2,"Upper Las Virgenes Canyon OSP, Pop 5",5/21/14,5/23/14,,,Leaves,,,San Fernando Valley Spineflower,,579,B05,,Spineflower 1,G12,24.4,2.4
